,Munising Falls Visitor Center,Cliffs Campsite,Cliffs Group Campsite,Miners Castle Visitors Center,Potato Patch Campsite,Mosquito River Group Campsite,Mosquito River Campsite,Chapel Beach Campsite,Coves Group Campsite,Coves Campsite,Little Beaver Lake Campground,Beaver Creek Campsite,Lowney Creek Group Campsite,Lowney Creek Campsite,Pine Bluff Campsite,Trappers Campsite,Trappers Group Campsite,Sevenmile Creek Campsite,Sevenmile Creek Group Campsite,Twelvemile Beach Campground,Benchmark Campsite,Hurricane River Lower Campground,Hurricane River Upper Campground,Au Sable Point Lighthouse,Au Sable East Group Campsite,Au Sable East Campsite,Masse Homestead Group Campsite,Masse Homestead Campsite,Grand Sable Visitor Center,Woodland Park Campground,
Munising Falls Visitor Center,0,1.9008151825925887,2.3985466631536054,2.636372180858993,3.396141547649067,4.535466044417329,4.628721588740306,6.302888084839006,7.315921476546182,7.848889918103542,8.445465207111264,8.386095695263407,8.915599504712452,8.995507922446276,8.8706498308789,9.18070103557076,9.227708373472769,10.589703508554088,10.646157490864379,11.60677021712738,11.96055577421708,12.870004609670334,12.971035654675983,13.433312390007309,13.51677390307345,13.57250543003247,14.65950590484859,14.732769164954215,16.600268654127774,17.48646795344092,
Cliffs Campsite,4.797578090573563,0,0.4977724872707142,0.7356492357871208,1.4954571058811745,2.6349669748186217,2.7282163259516015,4.402328592161269,5.415302613243626,5.948310003620322,6.5448807790253065,6.485497082856857,7.015014505613918,7.094923629694245,6.9700473588049965,7.28010463021086,7.327110062704592,8.689102377746167,8.745558531079956,9.706160652334995,10.059944605466391,10.969399095168836,11.070408765759945,11.532702090678129,11.616164339881157,11.67189913019167,12.758825479480231,12.83208996313924,14.699618032171381,15.585842820958288,
Cliffs Group Campsite,6.041169426068377,1.2435913354948132,0,0.2378907968976474,0.9976885247821128,2.137222081783098,2.230468887479404,3.904563487942781,4.917531459030397,5.450540969193618,6.047111033362077,5.987726499670965,6.517244482252744,6.597153612959499,6.472276374893759,6.782333848841347,6.829339167181244,8.191331004155742,8.247787238259562,9.208388812288492,9.562172677468753,10.471627251963492,10.5726364152943,11.034930063607753,11.118392326669388,11.174127204243879,12.26105376999043,12.334318206970352,14.201845615596262,15.088070388835519,
Miners Castle Visitors Center,6.6299530064590675,1.832374915885504,0.588783580390691,0,0.7598086109031692,1.89933161352869,1.992578711936655,3.666679696351618,4.679655142446403,5.212660962404651,5.809232004242185,5.7498488900905596,6.279365873180109,6.359274991138592,6.234399567122115,6.544456599066348,6.591462153147764,7.953455064726953,8.009911090187597,8.970514251800722,9.324298432176512,10.233752666021173,10.334764391516977,10.797056179517622,10.880518381481439,10.936252906779517,12.023190120944136,12.096454356822447,13.963977559873475,14.850199081980026,
Potato Patch Campsite,8.525172981543843,3.727594890970279,2.484003555475466,1.895219975084775,0,1.1395775640997838,1.2328156804374573,2.906875539740497,3.9198465925251877,4.452853007548803,5.049423674905368,4.990040297013708,5.519557437653121,5.5994665596115585,5.474590961006052,5.7846479910074855,5.83165354230683,7.19364652110452,7.250102521895334,8.210705976306404,8.564490241727652,9.47394436636267,9.574957071793866,10.037248079804407,10.120710260740866,10.176444678103536,11.263389152003274,11.336653182519283,13.204172615806284,14.090392029008886,
Mosquito River Group Campsite,11.33671022713311,6.539132136559548,5.295540801064735,4.706757220674044,2.8115372455892693,0,0.09325566899588732,1.7674222304190166,2.7804682197665787,3.313423995515126,3.9099992418700897,3.8506312161634826,4.380133467123308,4.460041878031954,4.335185317532863,4.645235470496193,4.692242960101485,6.054237692046716,6.110691552500715,7.071304706188895,7.425090289465162,8.334538613496273,8.435571940694492,8.897846516251548,8.98130798466297,9.037039407957339,10.124063559480065,10.197325828944624,12.064808961693805,12.951002582773635,
Mosquito River Campsite,11.570081471279448,6.772503380705883,5.5289120452110705,4.940128464820379,3.044908489735604,0.23337124414633487,0,1.6741666215195898,2.687212783861933,3.2201684069668017,3.8167436634572365,3.757375555801512,4.286877916099628,4.366786338743734,4.241929659323143,4.551979849564878,4.5989873306366125,5.960982094962776,6.017435971887895,6.978049087319348,7.331834669679943,8.241283046469993,8.342316279013888,8.804590928682353,8.888052403132125,8.943783849276508,10.030808126449271,10.104070378051585,11.97155329729133,12.857746962446182,
Chapel Beach Campsite,15.75621172240923,10.958633631835665,9.715042296340853,9.126258715950161,7.231038740865387,4.419501495276117,4.186130251129782,0,1.0130722171329072,1.5460018333812273,2.1425771307795407,2.083209738993685,2.6127115618135797,2.6926200826378843,2.5677636764467158,2.877813254275371,2.924820782584196,4.28681548185117,4.3432694068828255,5.3038824823713115,5.657668067224058,6.56711653280958,6.668150274444649,7.130424334235525,7.213885827144974,7.269617375976278,8.356653273637399,8.42991491736507,10.297388808132025,11.18358036007479,
Coves Group Campsite,18.305626636629576,13.508048546056012,12.264457210561199,11.675673630170508,9.780453655085733,6.9689164094964635,6.735545165350128,2.549414914220346,0,0.5330641038452748,1.1295934257861628,1.0701978256084548,1.5997200226848494,1.6796289492759522,1.5547450672783683,1.8648031082690903,1.9118080270601499,3.273799928676412,3.3302559607511477,4.290860494940959,4.644645222675754,5.554098619607209,5.655117716884722,6.117403370523675,6.200865419594694,6.25659924109366,7.343595342958966,7.416857613104519,9.284347187507363,10.17055274711714,
Coves Campsite,19.620931469296536,14.823353378722972,13.57976204322816,12.990978462837468,11.095758487752693,8.284221242163424,8.050849998017089,3.864719746887307,1.315304832666961,0,0.5965753196167438,0.5372161276456998,1.066709999715177,1.146618696339179,1.021766014042397,1.331811959112394,1.3788197905715098,2.7408137108495367,2.79726757537754,3.7578809289925834,4.11166651815418,5.021114702681819,5.122150154569431,5.584422521755192,5.667884001124031,5.7236155570503024,6.810670202730635,6.8839308939413035,8.751390853635154,9.637578757655913,
Little Beaver Lake Campground,21.111921048811602,16.31434295823804,15.070751622743225,14.481968042352534,12.58674806726776,9.77521082167849,9.541839577532155,5.355709326402372,2.8062944121820257,1.4909895795150647,0,1.0307928973119058,0.4701349288906367,0.5500438206154579,1.515345545866566,1.8253929848422852,1.8724007353415493,3.234394788786338,3.290848602730939,4.251462019322067,4.605247608614258,5.514695687336198,5.615730983978694,6.078003571757335,6.161465034904969,6.2171965139008964,7.3042459073993395,7.377506914058961,9.244971178804533,10.131159849838046,
Beaver Creek Campsite,20.969975897043767,16.172397806470205,14.92880647097539,14.340022890584699,12.444802915499924,9.633265669910655,9.39989442576432,5.213764174634538,2.664349260414192,1.349044427747231,2.583445580265023,0,1.5061110020953499,1.5860200546301415,0.48455414563411264,0.7946080520000007,0.8416142903821415,2.2036099268407066,2.260064954285733,3.220675037400515,3.5744604932913044,4.483911311033698,4.584940727970955,5.047217986249794,5.130679731086331,5.186412290882649,6.273454339824701,6.346715118045096,8.214179282983418,9.1003723295543,
Lowney Creek Group Campsite,22.28576207481166,17.4881839842381,16.244592648743286,15.655809068352596,13.760589093267821,10.949051847678552,10.715680603532217,6.529550352402434,3.9801354381820877,2.6648306055151267,1.1738410260000618,3.757286606265085,0,0.07990913308154092,1.644386855180552,1.4839144534967108,1.5309225142035172,3.071726863421544,3.1281804453646487,4.088794355713226,4.442579934073791,5.352027345970126,5.453064233443396,5.91533542675643,5.998796827204899,6.054528097297635,7.141584078249248,7.214844859953346,9.082305236081455,9.968492014705486,
Lowney Creek Campsite,22.484905440820402,17.68732735024684,16.443736014752027,15.854952434361335,13.95973245927656,11.148195213687291,10.914823969540956,6.728693718411174,4.179278804190828,2.8639739715238672,1.3729843920088025,3.9564299722738254,0.1991433660087406,0,1.5644799802371498,1.4040069403168087,1.4510151277316825,2.991818769979263,3.0482722438508483,4.0088863594943875,4.362671927185226,5.272119031540482,5.373156633027895,5.835427194732355,5.91888856703506,5.974619745346751,7.061678742698504,7.134939417142124,9.002397971783555,9.88858390139095,
Pine Bluff Campsite,22.181814126592467,17.384236036018905,16.140644700524092,15.5518611201334,13.656641145048626,10.845103899459357,10.611732655313022,6.425602404183239,3.8761874899628928,2.560882657295932,3.7952838098137236,1.2118382295487007,4.1193769092366095,3.9202335432278685,0,0.31005933298394367,0.3570630864916971,1.71905675150312,1.7755121631867767,2.7361211102016623,3.089906520128015,3.9993577692842885,4.100386653025689,4.562664173871007,4.646125963090184,4.701858725221614,5.788906094142147,5.862166483374988,7.729625744675328,8.615818222851557,
Trappers Campsite,22.953104493226988,18.155526402653425,16.911935067158613,16.323151486767923,14.427931511683147,11.616394266093877,11.383023021947542,7.19689277081776,4.647477856597414,3.332173023930453,4.566574176448245,1.9831285961832217,3.7143686728882312,3.5152253068794908,0.771290366634521,0,0.04700948893122887,1.5878143607675426,1.644268898663637,2.604880881086392,2.958666459863797,3.8681158935395272,3.969149782178834,4.431423155945466,4.51488476874143,4.5706168654011226,5.657681177865344,5.730941042870073,7.5983911197860365,8.484578750337842,
Trappers Group Campsite,23.071431769451593,18.27385367887803,17.030262343383217,16.441478762992528,14.546258787907753,11.734721542318484,11.501350298172149,7.315220047042366,4.7658051328220195,3.4505003001550585,4.68490145267285,2.1014558724078274,3.832695949112837,3.6335525831040965,0.8896176428591267,0.11832727622460568,0,1.5408073866704057,1.5972621631707176,2.557873492305151,2.9116590523509904,3.821108928198068,3.922141809482432,4.384416001061114,4.467877655891629,4.523609911236026,5.610671973559993,5.68393186988633,7.551382849538227,8.437571305049726,
Sevenmile Creek Campsite,26.47418222697823,21.676604136404666,20.433012800909854,19.844229220519164,17.94900924543439,15.137471999845122,14.904100755698787,10.717970504569005,8.168555590348658,6.853250757681697,8.087651910199488,5.5042063299344655,7.682475532261986,7.483332166253245,4.292368100385764,3.9681068593737536,3.849779583149148,0,0.05645984161073479,1.0170678726709428,1.370853328207846,2.280301548948861,2.38134175269464,2.8436088882231325,2.9270704498824576,2.9828025291798945,4.069915867911646,4.143172834445162,6.010585719693004,6.896765151301412,
Sevenmile Creek Group Campsite,26.613888569739775,21.816310479166212,20.5727191436714,19.98393556328071,18.088715588195935,15.277178342606666,15.04380709846033,10.857676847330548,8.308261933110202,6.992957100443241,8.227358252961032,5.643912672696009,7.82218187502353,7.623038509014789,4.432074443147309,4.107813202135299,3.989485925910693,0.1397063427615451,0,0.9606156849254673,1.3144007877258665,2.223847185369439,2.3248908156692503,2.7871549897536805,2.870616432296151,2.926348108759682,4.013471311608031,4.086727885056322,5.954134789255211,6.84031173031231,
Twelvemile Beach Campground,29.01969244029501,24.222114349721448,22.978523014226635,22.389739433835945,20.49451945875117,17.6829822131619,17.449610969015566,13.263480717885782,10.714065803665436,9.398760970998476,10.633162123516268,8.049716543251245,10.227985745578765,10.028842379570024,6.837878313702544,6.513617072690534,6.395289796465928,2.54551021331678,2.4058038705552347,0,0.35378558944568583,1.2632384428795114,1.3642760301182326,1.8265432048417904,1.9100051169336931,1.9657387726212958,3.052882786343125,3.1261367276713616,4.993519595995775,5.8796978777065965,
Benchmark Campsite,29.9045122901764,25.106934199602836,23.863342864108024,23.274559283717334,21.37933930863256,18.56780206304329,18.334430818896955,14.148300567767174,11.598885653546828,10.283580820879868,11.51798197339766,8.934536393132637,11.112805595460157,10.913662229451417,7.722698163583936,7.398436922571926,7.28010964634732,3.4303300631981726,3.2906237204366273,0.8848198498813927,0,0.909455227001795,1.0104937449054578,1.4727581625069495,1.5562201976622891,1.6119545270167817,2.6991193808249427,2.772371410308393,4.639735768675169,5.525912293380796,
Hurricane River Lower Campground,32.17213462964154,27.374556539067978,26.130965203573165,25.542181623182476,23.6469616480977,20.83542440250843,20.602053158362096,16.415922907232314,13.866507993011966,12.551203160345006,13.785604312862798,11.202158732597775,13.380427934925295,13.181284568916555,9.990320503049075,9.666059262037063,9.547731985812458,5.69795240266331,5.558246059901765,3.15244218934653,2.2676223394651376,0,0.16579153253583825,0.5633094962977463,0.6467700441117032,0.7025009851100329,1.789841684142041,1.8630799922530286,3.730312902099475,4.616466356385435,
Hurricane River Upper Campground,32.44075562066327,27.643177530089705,26.399586194594892,25.810802614204203,23.915582639119428,21.10404539353016,20.870674149383827,16.684543898254045,14.135128984033699,12.819824151366738,14.05422530388453,11.470779723619508,13.649048925947028,13.449905559938287,10.258941494070807,9.934680253058795,9.81635297683419,5.966573393685043,5.826867050923498,3.421063180368264,2.5362433304868715,0.4299464439487377,0,0.7417466469708378,0.8252081083939744,0.8809524498852802,1.9680580789870705,2.041307567112723,3.908669515666558,4.794862252558749,
Au Sable Point Lighthouse,33.582793221262776,28.785215130689213,27.5416237951944,26.95284021480371,25.057620239718936,22.246082994129665,22.012711749983332,17.82658149885355,15.277166584633202,13.961861751966241,15.196262904484033,12.61281732421901,14.79108652654653,14.59194316053779,11.40097909467031,11.076717853658298,10.958390577433693,7.108610994284545,6.968904651523,4.5631007809677655,3.6782809310863724,1.410658591621235,1.8406050355699728,0,0.0834625739538759,0.13920654430066698,1.2266651564536803,1.2998858188886595,3.16700697947862,4.053157313631221,
Au Sable East Group Campsite,33.79070021507534,28.993122124501777,27.749530789006965,27.160747208616275,25.2655272335315,22.45398998794223,22.220618743795896,18.034488492666114,15.48507357844577,14.169768745778809,15.404169898296601,12.820724318031578,14.998993520359098,14.799850154350358,11.608886088482878,11.284624847470866,11.166297571246261,7.3165179880971145,7.17681164533557,4.771007774780335,3.886187924898942,1.6185655854338044,2.0485120293825423,0.2079069938125692,0,0.05575260949070749,1.1432525062558645,1.2164672494193407,3.08354988334432,3.969696332055551,
Au Sable East Campsite,33.92735670163348,29.129778611059916,27.886187275565103,27.297403695174413,25.40218372008964,22.590646474500367,22.357275230354034,18.171144979224252,15.621730065003904,14.306425232336943,15.540826384854736,12.957380804589713,15.135650006917233,14.936506640908492,11.745542575041013,11.421281334029,11.302954057804396,7.453174474655248,7.313468131893703,4.907664261338469,4.022844411457076,1.7552220719919376,2.1851685159406755,0.3445634803707025,0.13665648655813334,0,1.0875975964666256,1.16080474923771,3.027830144506253,3.9139670836099,
Masse Homestead Group Campsite,36.71222213072755,31.914644040153984,30.67105270465917,30.082269124268482,28.187049149183707,25.375511903594436,25.142140659448103,20.95601040831832,18.406595494097974,17.091290661431014,18.325691813948804,15.742246233683781,17.9205154360113,17.72137207000256,14.530408004135081,14.20614676312307,14.087819486898464,10.238039903749316,10.09833356098777,7.6925296904325355,6.8077098405511425,4.5400875010860045,4.970033945034742,3.1294289094647696,2.9215219156522005,2.7848654290940673,0,0.07326762146551913,1.9408640966970387,2.8271895809699092,
Masse Homestead Campsite,36.89428890763065,32.09671081705709,30.85311948156227,30.26433590117158,28.369115926086806,25.55757868049754,25.324207436351205,21.138077185221423,18.588662271001077,17.273357438334116,18.507758590851907,15.924313010586884,18.102582212914403,17.90343884690566,14.712474781038184,14.388213540026172,14.269886263801567,10.42010668065242,10.280400337890875,7.87459646733564,6.989776617454247,4.722154277989109,5.152100721937846,3.3114956863678735,3.1035886925553045,2.9669322059971712,0.18206677690310394,0,1.867596475432195,2.7539222812467505,
Grand Sable Visitor Center,41.53543096065624,36.737852870082676,35.494261534587864,34.905477954197174,33.010257979112396,30.198720733523125,29.96534948937679,25.77921923824701,23.229804324026663,21.914499491359702,23.148900643877493,20.56545506361247,22.74372426593999,22.544580899931248,19.35361683406377,19.029355593051758,18.911028316827153,15.061248733678006,14.92154239091646,12.515738520361225,11.630918670479833,9.363296331014697,9.793242774963433,7.952637739393462,7.744730745580893,7.608074259022759,4.823208829928692,4.641142053025588,0,0.8863535367267383,
Woodland Park Campground,43.723136964266935,38.92555887369337,37.681967538198556,37.09318395780787,35.19796398272309,32.38642673713382,32.153055492987484,27.9669252418577,25.417510327637356,24.102205494970395,25.336606647488185,22.75316106722316,24.931430269550678,24.732286903541937,21.54132283767446,21.217061596662447,21.098734320437842,17.248954737288695,17.10924839452715,14.703444523971916,13.818624674090524,11.551002334625387,11.980948778574124,10.140343743004152,9.932436749191583,9.79578026263345,7.010914833539383,6.828848056636279,2.187706003610691,0,
